"Period","Stage","Subject","Map_Choice","District","Map","Effort"
27,"3","8","2","EW",5,30
28,"3","1","3","EW",5,14
28,"3","2","5","EW",5,20
28,"3","3","3","EW",5,15
28,"3","4","2","EW",5,50
28,"3","5","1","EW",5,0
28,"3","6","1","EW",5,65
28,"3","7","1","EW",5,26
28,"3","8","2","EW",5,30
29,"3","1","2","EW",5,5
29,"3","2","5","EW",5,20
29,"3","3","3","EW",5,35
29,"3","4","2","EW",5,30
29,"3","5","5","EW",5,0
29,"3","6","1","EW",5,65
29,"3","7","1","EW",5,25
29,"3","8","2","EW",5,10
15,"1","1","-1","EDG",4,25
15,"1","2","-1","EDG",4,40
15,"1","3","-1","EDG",4,20
15,"1","4","-1","EDG",4,40
15,"1","5","-1","EDG",4,25
15,"1","6","-1","EDG",4,10
15,"1","7","-1","EDG",4,0
15,"1","8","-1","EDG",4,10
16,"1","1","-1","EDG",4,5
16,"1","2","-1","EDG",4,30
16,"1","3","-1","EDG",4,20
16,"1","4","-1","EDG",4,35
16,"1","5","-1","EDG",4,20
16,"1","6","-1","EDG",4,15
16,"1","7","-1","EDG",4,5
16,"1","8","-1","EDG",4,10
17,"1","1","-1","EDG",4,5
17,"1","2","-1","EDG",4,30
17,"1","3","-1","EDG",4,20
17,"1","4","-1","EDG",4,40
17,"1","5","-1","EDG",4,20
17,"1","6","-1","EDG",4,2
17,"1","7","-1","EDG",4,15
17,"1","8","-1","EDG",4,15
18,"1","1","-1","EDG",4,40
18,"1","2","-1","EDG",4,0
18,"1","3","-1","EDG",4,15
18,"1","4","-1","EDG",4,40
18,"1","5","-1","EDG",4,20
18,"1","6","-1","EDG",4,5
18,"1","7","-1","EDG",4,0
18,"1","8","-1","EDG",4,15
19,"1","1","-1","EDG",4,17
19,"1","2","-1","EDG",4,0
19,"1","3","-1","EDG",4,15
19,"1","4","-1","EDG",4,40
19,"1","5","-1","EDG",4,20
19,"1","6","-1","EDG",4,10
19,"1","7","-1","EDG",4,16
19,"1","8","-1","EDG",4,15
20,"2","1","1","EDG",4,20
20,"2","2","5","EDG",4,0
20,"2","3","1","EDG",4,15
20,"2","4","2","EDG",4,40
20,"2","5","1","EDG",4,20
20,"2","6","3","EDG",4,10
20,"2","7","1","EDG",4,15
20,"2","8","1","EDG",4,10
21,"2","1","3","EDG",4,5
21,"2","2","5","EDG",4,0
21,"2","3","1","EDG",4,15
21,"2","4","2","EDG",4,40
21,"2","5","1","EDG",4,20
21,"2","6","1","EDG",4,1
21,"2","7","1","EDG",4,26
21,"2","8","1","EDG",4,10
22,"2","1","5","EDG",4,5
22,"2","2","5","EDG",4,20
22,"2","3","2","EDG",4,15
22,"2","4","2","EDG",4,40
22,"2","5","1","EDG",4,20
22,"2","6","2","EDG",4,2
22,"2","7","1","EDG",4,17
22,"2","8","1","EDG",4,10
23,"2","1","4","EDG",4,5
23,"2","2","5","EDG",4,20
23,"2","3","2","EDG",4,15
23,"2","4","2","EDG",4,40
