"Period","Stage","Subject","Map_Choice","District","Map","Effort"
16,"1","8","-99","EW",5,75
17,"1","1","-99","EW",5,50
17,"1","2","-99","EW",5,50
17,"1","3","-99","EW",5,51
17,"1","4","-99","EW",5,0
17,"1","5","-99","EW",5,30
17,"1","6","-99","EW",5,0
17,"1","7","-99","EW",5,25
17,"1","8","-99","EW",5,50
18,"1","1","-99","EW",5,50
18,"1","2","-99","EW",5,40
18,"1","3","-99","EW",5,35
18,"1","4","-99","EW",5,40
18,"1","5","-99","EW",5,10
18,"1","6","-99","EW",5,0
18,"1","7","-99","EW",5,15
18,"1","8","-99","EW",5,55
19,"1","1","-99","EW",5,50
19,"1","2","-99","EW",5,40
19,"1","3","-99","EW",5,35
19,"1","4","-99","EW",5,10
19,"1","5","-99","EW",5,30
19,"1","6","-99","EW",5,0
19,"1","7","-99","EW",5,35
19,"1","8","-99","EW",5,70
20,"1","1","-99","EW",5,50
20,"1","2","-99","EW",5,40
20,"1","3","-99","EW",5,45
20,"1","4","-99","EW",5,20
20,"1","5","-99","EW",5,30
20,"1","6","-99","EW",5,0
20,"1","7","-99","EW",5,25
20,"1","8","-99","EW",5,10
21,"1","1","-99","EW",5,50
21,"1","2","-99","EW",5,40
21,"1","3","-99","EW",5,45
21,"1","4","-99","EW",5,40
21,"1","5","-99","EW",5,30
21,"1","6","-99","EW",5,0
21,"1","7","-99","EW",5,30
21,"1","8","-99","EW",5,45
22,"1","1","-99","EW",5,50
22,"1","2","-99","EW",5,20
22,"1","3","-99","EW",5,40
22,"1","4","-99","EW",5,60
22,"1","5","-99","EW",5,30
22,"1","6","-99","EW",5,0
22,"1","7","-99","EW",5,25
22,"1","8","-99","EW",5,30
23,"1","1","-99","EW",5,50
23,"1","2","-99","EW",5,10
23,"1","3","-99","EW",5,45
23,"1","4","-99","EW",5,70
23,"1","5","-99","EW",5,30
23,"1","6","-99","EW",5,0
23,"1","7","-99","EW",5,35
23,"1","8","-99","EW",5,80
24,"1","1","-99","EW",5,50
24,"1","2","-99","EW",5,10
24,"1","3","-99","EW",5,45
24,"1","4","-99","EW",5,60
24,"1","5","-99","EW",5,30
24,"1","6","-99","EW",5,0
24,"1","7","-99","EW",5,30
24,"1","8","-99","EW",5,55
25,"2","1","5","EW",5,30
25,"2","2","1","EW",5,4
25,"2","3","5","EW",5,50
25,"2","4","2","EW",5,60
25,"2","5","3","EW",5,20
25,"2","6","1","EW",5,0
25,"2","7","1","EW",5,35
25,"2","8","1","EW",5,55
26,"2","1","5","EW",5,30
26,"2","2","1","EW",5,20
26,"2","3","5","EW",5,45
26,"2","4","1","EW",5,0
26,"2","5","4","EW",5,10
26,"2","6","1","EW",5,0
26,"2","7","1","EW",5,35
26,"2","8","3","EW",5,35
27,"2","1","5","EW",5,30
27,"2","2","3","EW",5,20
27,"2","3","5","EW",5,35
27,"2","4","1","EW",5,60
27,"2","5","2","EW",5,20
27,"2","6","1","EW",5,0
27,"2","7","1","EW",5,35
27,"2","8","4","EW",5,70
28,"3","1","5","EW",5,30
28,"3","2","3","EW",5,20
28,"3","3","2","EW",5,40
28,"3","4","3","EW",5,70
28,"3","5","4","EW",5,10
28,"3","6","3","EW",5,0
28,"3","7","1","EW",5,35
28,"3","8","4","EW",5,50
15,"1","1","-99","EDG",4,0
15,"1","2","-99","EDG",4,30
15,"1","3","-99","EDG",4,25
15,"1","4","-99","EDG",4,20
15,"1","5","-99","EDG",4,20
15,"1","6","-99","EDG",4,25
15,"1","7","-99","EDG",4,0
15,"1","8","-99","EDG",4,50
16,"1","1","-99","EDG",4,0
16,"1","2","-99","EDG",4,0
16,"1","3","-99","EDG",4,25
16,"1","4","-99","EDG",4,1
16,"1","5","-99","EDG",4,10
16,"1","6","-99","EDG",4,0
16,"1","7","-99","EDG",4,20
16,"1","8","-99","EDG",4,30
17,"1","1","-99","EDG",4,10
17,"1","2","-99","EDG",4,0
17,"1","3","-99","EDG",4,25
17,"1","4","-99","EDG",4,20
17,"1","5","-99","EDG",4,20
17,"1","6","-99","EDG",4,0
17,"1","7","-99","EDG",4,20
17,"1","8","-99","EDG",4,40
18,"1","1","-99","EDG",4,10
18,"1","2","-99","EDG",4,0
18,"1","3","-99","EDG",4,25
18,"1","4","-99","EDG",4,20
18,"1","5","-99","EDG",4,10
18,"1","6","-99","EDG",4,1
18,"1","7","-99","EDG",4,15
18,"1","8","-99","EDG",4,35
19,"1","1","-99","EDG",4,10
19,"1","2","-99","EDG",4,0
19,"1","3","-99","EDG",4,20
19,"1","4","-99","EDG",4,10
19,"1","5","-99","EDG",4,20
19,"1","6","-99","EDG",4,0
19,"1","7","-99","EDG",4,25
19,"1","8","-99","EDG",4,10
20,"1","1","-99","EDG",4,10
20,"1","2","-99","EDG",4,0
20,"1","3","-99","EDG",4,20
20,"1","4","-99","EDG",4,20
20,"1","5","-99","EDG",4,30
20,"1","6","-99","EDG",4,15
20,"1","7","-99","EDG",4,20
20,"1","8","-99","EDG",4,20
21,"1","1","-99","EDG",4,10
21,"1","2","-99","EDG",4,0
21,"1","3","-99","EDG",4,20
21,"1","4","-99","EDG",4,40
21,"1","5","-99","EDG",4,30
21,"1","6","-99","EDG",4,0
21,"1","7","-99","EDG",4,25
21,"1","8","-99","EDG",4,20
22,"1","1","-99","EDG",4,10
22,"1","2","-99","EDG",4,0
22,"1","3","-99","EDG",4,26
22,"1","4","-99","EDG",4,20
22,"1","5","-99","EDG",4,10
22,"1","6","-99","EDG",4,0
22,"1","7","-99","EDG",4,25
22,"1","8","-99","EDG",4,10
23,"1","1","-99","EDG",4,10
23,"1","2","-99","EDG",4,0
23,"1","3","-99","EDG",4,22
23,"1","4","-99","EDG",4,20
23,"1","5","-99","EDG",4,30
23,"1","6","-99","EDG",4,1
23,"1","7","-99","EDG",4,35
23,"1","8","-99","EDG",4,20
24,"1","1","-99","EDG",4,10
24,"1","2","-99","EDG",4,0
24,"1","3","-99","EDG",4,20
24,"1","4","-99","EDG",4,20
24,"1","5","-99","EDG",4,10
24,"1","6","-99","EDG",4,2
24,"1","7","-99","EDG",4,20
24,"1","8","-99","EDG",4,20
25,"2","1","5","EDG",4,0
25,"2","2","1","EDG",4,0
25,"2","3","5","EDG",4,20
25,"2","4","2","EDG",4,20
25,"2","5","3","EDG",4,10
25,"2","6","1","EDG",4,0
25,"2","7","1","EDG",4,20
25,"2","8","1","EDG",4,25
26,"2","1","5","EDG",4,0
26,"2","2","1","EDG",4,0
26,"2","3","5","EDG",4,20
26,"2","4","1","EDG",4,40
26,"2","5","4","EDG",4,20
26,"2","6","1","EDG",4,0
26,"2","7","1","EDG",4,20
26,"2","8","3","EDG",4,40
27,"2","1","5","EDG",4,0
27,"2","2","3","EDG",4,0
27,"2","3","5","EDG",4,15
27,"2","4","1","EDG",4,25
27,"2","5","2","EDG",4,20
27,"2","6","1","EDG",4,0
27,"2","7","1","EDG",4,20
27,"2","8","4","EDG",4,30
28,"3","1","5","EDG",4,0
28,"3","2","3","EDG",4,0
28,"3","3","2","EDG",4,15
28,"3","4","3","EDG",4,25
28,"3","5","4","EDG",4,30
28,"3","6","3","EDG",4,0
28,"3","7","1","EDG",4,20
28,"3","8","4","EDG",4,30
15,"1","1","-99","ELG",4,0
15,"1","2","-99","ELG",4,30
15,"1","3","-99","ELG",4,25
15,"1","4","-99","ELG",4,20
15,"1","5","-99","ELG",4,10
15,"1","6","-99","ELG",4,30
15,"1","7","-99","ELG",4,0
15,"1","8","-99","ELG",4,20
16,"1","1","-99","ELG",4,30
16,"1","2","-99","ELG",4,0
16,"1","3","-99","ELG",4,26
16,"1","4","-99","ELG",4,78
16,"1","5","-99","ELG",4,20
16,"1","6","-99","ELG",4,0
16,"1","7","-99","ELG",4,20
16,"1","8","-99","ELG",4,30
17,"1","1","-99","ELG",4,20
17,"1","2","-99","ELG",4,0
17,"1","3","-99","ELG",4,26
17,"1","4","-99","ELG",4,20
17,"1","5","-99","ELG",4,10
17,"1","6","-99","ELG",4,0
17,"1","7","-99","ELG",4,15
17,"1","8","-99","ELG",4,30
18,"1","1","-99","ELG",4,20
18,"1","2","-99","ELG",4,0
18,"1","3","-99","ELG",4,26
18,"1","4","-99","ELG",4,40
18,"1","5","-99","ELG",4,10
18,"1","6","-99","ELG",4,1
18,"1","7","-99","ELG",4,15
18,"1","8","-99","ELG",4,30
19,"1","1","-99","ELG",4,20
19,"1","2","-99","ELG",4,0
19,"1","3","-99","ELG",4,20
19,"1","4","-99","ELG",4,20
19,"1","5","-99","ELG",4,20
19,"1","6","-99","ELG",4,0
19,"1","7","-99","ELG",4,25
19,"1","8","-99","ELG",4,20
20,"1","1","-99","ELG",4,20
20,"1","2","-99","ELG",4,0
20,"1","3","-99","ELG",4,20
20,"1","4","-99","ELG",4,40
20,"1","5","-99","ELG",4,10
20,"1","6","-99","ELG",4,15
20,"1","7","-99","ELG",4,20
20,"1","8","-99","ELG",4,20
21,"1","1","-99","ELG",4,20
21,"1","2","-99","ELG",4,0
21,"1","3","-99","ELG",4,20
21,"1","4","-99","ELG",4,20
21,"1","5","-99","ELG",4,30
21,"1","6","-99","ELG",4,0
21,"1","7","-99","ELG",4,25
21,"1","8","-99","ELG",4,30
22,"1","1","-99","ELG",4,20
22,"1","2","-99","ELG",4,0
22,"1","3","-99","ELG",4,25
22,"1","4","-99","ELG",4,20
22,"1","5","-99","ELG",4,10
22,"1","6","-99","ELG",4,0
22,"1","7","-99","ELG",4,25
22,"1","8","-99","ELG",4,20
23,"1","1","-99","ELG",4,20
23,"1","2","-99","ELG",4,0
23,"1","3","-99","ELG",4,22
23,"1","4","-99","ELG",4,20
23,"1","5","-99","ELG",4,30
23,"1","6","-99","ELG",4,1
23,"1","7","-99","ELG",4,15
23,"1","8","-99","ELG",4,30
24,"1","1","-99","ELG",4,20
24,"1","2","-99","ELG",4,0
24,"1","3","-99","ELG",4,20
24,"1","4","-99","ELG",4,20
24,"1","5","-99","ELG",4,30
24,"1","6","-99","ELG",4,2
24,"1","7","-99","ELG",4,20
24,"1","8","-99","ELG",4,30
25,"2","1","5","ELG",4,0
25,"2","2","1","ELG",4,0
25,"2","3","5","ELG",4,20
25,"2","4","2","ELG",4,20
25,"2","5","3","ELG",4,10
25,"2","6","1","ELG",4,0
25,"2","7","1","ELG",4,20
25,"2","8","1","ELG",4,20
26,"2","1","5","ELG",4,0
26,"2","2","1","ELG",4,0
26,"2","3","5","ELG",4,20
26,"2","4","1","ELG",4,20
26,"2","5","4","ELG",4,20
26,"2","6","1","ELG",4,0
26,"2","7","1","ELG",4,20
26,"2","8","3","ELG",4,20
27,"2","1","5","ELG",4,0
27,"2","2","3","ELG",4,0
27,"2","3","5","ELG",4,15
27,"2","4","1","ELG",4,25
27,"2","5","2","ELG",4,10
27,"2","6","1","ELG",4,0
27,"2","7","1","ELG",4,20
27,"2","8","4","ELG",4,35
28,"3","1","5","ELG",4,0
28,"3","2","3","ELG",4,0
28,"3","3","2","ELG",4,15
28,"3","4","3","ELG",4,25
28,"3","5","4","ELG",4,30
28,"3","6","3","ELG",4,0
28,"3","7","1","ELG",4,20
28,"3","8","4","ELG",4,25
15,"1","1","-99","EW",4,50
15,"1","2","-99","EW",4,0
15,"1","3","-99","EW",4,30
15,"1","4","-99","EW",4,40
15,"1","5","-99","EW",4,20
15,"1","6","-99","EW",4,25
15,"1","7","-99","EW",4,45
15,"1","8","-99","EW",4,10
16,"1","1","-99","EW",4,30
16,"1","2","-99","EW",4,0
16,"1","3","-99","EW",4,0
16,"1","4","-99","EW",4,1
16,"1","5","-99","EW",4,30
16,"1","6","-99","EW",4,0
16,"1","7","-99","EW",4,20
16,"1","8","-99","EW",4,20
17,"1","1","-99","EW",4,30
17,"1","2","-99","EW",4,0
17,"1","3","-99","EW",4,0
17,"1","4","-99","EW",4,20
17,"1","5","-99","EW",4,30
17,"1","6","-99","EW",4,0
17,"1","7","-99","EW",4,15
17,"1","8","-99","EW",4,10
18,"1","1","-99","EW",4,30
18,"1","2","-99","EW",4,0
18,"1","3","-99","EW",4,0
18,"1","4","-99","EW",4,20
18,"1","5","-99","EW",4,30
18,"1","6","-99","EW",4,1
18,"1","7","-99","EW",4,15
18,"1","8","-99","EW",4,5
19,"1","1","-99","EW",4,30
19,"1","2","-99","EW",4,0
19,"1","3","-99","EW",4,20
19,"1","4","-99","EW",4,40
19,"1","5","-99","EW",4,10
19,"1","6","-99","EW",4,0
19,"1","7","-99","EW",4,25
19,"1","8","-99","EW",4,30
20,"1","1","-99","EW",4,30
20,"1","2","-99","EW",4,0
20,"1","3","-99","EW",4,20
20,"1","4","-99","EW",4,20
20,"1","5","-99","EW",4,20
20,"1","6","-99","EW",4,15
20,"1","7","-99","EW",4,15
20,"1","8","-99","EW",4,20
21,"1","1","-99","EW",4,30
21,"1","2","-99","EW",4,0
21,"1","3","-99","EW",4,20
21,"1","4","-99","EW",4,20
21,"1","5","-99","EW",4,10
21,"1","6","-99","EW",4,0
21,"1","7","-99","EW",4,20
21,"1","8","-99","EW",4,30
22,"1","1","-99","EW",4,30
22,"1","2","-99","EW",4,0
22,"1","3","-99","EW",4,10
22,"1","4","-99","EW",4,20
22,"1","5","-99","EW",4,10
22,"1","6","-99","EW",4,0
22,"1","7","-99","EW",4,15
22,"1","8","-99","EW",4,35
23,"1","1","-99","EW",4,30
23,"1","2","-99","EW",4,0
23,"1","3","-99","EW",4,22
23,"1","4","-99","EW",4,20
23,"1","5","-99","EW",4,20
23,"1","6","-99","EW",4,1
23,"1","7","-99","EW",4,15
23,"1","8","-99","EW",4,25
24,"1","1","-99","EW",4,30
24,"1","2","-99","EW",4,0
24,"1","3","-99","EW",4,20
24,"1","4","-99","EW",4,20
24,"1","5","-99","EW",4,20
24,"1","6","-99","EW",4,2
24,"1","7","-99","EW",4,20
24,"1","8","-99","EW",4,10
25,"2","1","5","EW",4,0
25,"2","2","1","EW",4,0
25,"2","3","5","EW",4,20
25,"2","4","2","EW",4,20
25,"2","5","3","EW",4,30
25,"2","6","1","EW",4,0
25,"2","7","1","EW",4,20
25,"2","8","1","EW",4,30
26,"2","1","5","EW",4,0
26,"2","2","1","EW",4,0
26,"2","3","5","EW",4,20
26,"2","4","1","EW",4,20
26,"2","5","4","EW",4,20
26,"2","6","1","EW",4,0
26,"2","7","1","EW",4,20
26,"2","8","3","EW",4,20
27,"2","1","5","EW",4,0
27,"2","2","3","EW",4,0
27,"2","3","5","EW",4,15
27,"2","4","1","EW",4,30
27,"2","5","2","EW",4,30
27,"2","6","1","EW",4,0
27,"2","7","1","EW",4,20
27,"2","8","4","EW",4,15
28,"3","1","5","EW",4,0
28,"3","2","3","EW",4,0
28,"3","3","2","EW",4,15
28,"3","4","3","EW",4,30
28,"3","5","4","EW",4,10
28,"3","6","3","EW",4,0
28,"3","7","1","EW",4,20
28,"3","8","4","EW",4,25
15,"1","1","-99","EDG",3,0
15,"1","2","-99","EDG",3,0
15,"1","3","-99","EDG",3,0
15,"1","4","-99","EDG",3,40
15,"1","5","-99","EDG",3,20
15,"1","6","-99","EDG",3,0
15,"1","7","-99","EDG",3,0
15,"1","8","-99","EDG",3,0
16,"1","1","-99","EDG",3,0
16,"1","2","-99","EDG",3,0
16,"1","3","-99","EDG",3,0
16,"1","4","-99","EDG",3,1
16,"1","5","-99","EDG",3,10
16,"1","6","-99","EDG",3,0
16,"1","7","-99","EDG",3,0
16,"1","8","-99","EDG",3,0
17,"1","1","-99","EDG",3,0
17,"1","2","-99","EDG",3,0
17,"1","3","-99","EDG",3,0
17,"1","4","-99","EDG",3,0
17,"1","5","-99","EDG",3,10
17,"1","6","-99","EDG",3,0
17,"1","7","-99","EDG",3,0
17,"1","8","-99","EDG",3,0
18,"1","1","-99","EDG",3,0
18,"1","2","-99","EDG",3,0
18,"1","3","-99","EDG",3,0
18,"1","4","-99","EDG",3,20
18,"1","5","-99","EDG",3,10
18,"1","6","-99","EDG",3,0
18,"1","7","-99","EDG",3,0
18,"1","8","-99","EDG",3,0
19,"1","1","-99","EDG",3,0
19,"1","2","-99","EDG",3,0
19,"1","3","-99","EDG",3,0
19,"1","4","-99","EDG",3,40
19,"1","5","-99","EDG",3,30
19,"1","6","-99","EDG",3,0
19,"1","7","-99","EDG",3,0
19,"1","8","-99","EDG",3,0
20,"1","1","-99","EDG",3,0
20,"1","2","-99","EDG",3,0
20,"1","3","-99","EDG",3,0
20,"1","4","-99","EDG",3,20
20,"1","5","-99","EDG",3,20
20,"1","6","-99","EDG",3,0
20,"1","7","-99","EDG",3,0
20,"1","8","-99","EDG",3,0
21,"1","1","-99","EDG",3,0
21,"1","2","-99","EDG",3,0
21,"1","3","-99","EDG",3,0
21,"1","4","-99","EDG",3,20
21,"1","5","-99","EDG",3,10
21,"1","6","-99","EDG",3,0
21,"1","7","-99","EDG",3,0
21,"1","8","-99","EDG",3,0
22,"1","1","-99","EDG",3,0
22,"1","2","-99","EDG",3,0
22,"1","3","-99","EDG",3,0
22,"1","4","-99","EDG",3,0
22,"1","5","-99","EDG",3,30
22,"1","6","-99","EDG",3,0
22,"1","7","-99","EDG",3,0
22,"1","8","-99","EDG",3,0
23,"1","1","-99","EDG",3,0
23,"1","2","-99","EDG",3,0
23,"1","3","-99","EDG",3,0
23,"1","4","-99","EDG",3,0
23,"1","5","-99","EDG",3,10
23,"1","6","-99","EDG",3,0
23,"1","7","-99","EDG",3,0
23,"1","8","-99","EDG",3,0
24,"1","1","-99","EDG",3,0
24,"1","2","-99","EDG",3,0
24,"1","3","-99","EDG",3,0
24,"1","4","-99","EDG",3,0
24,"1","5","-99","EDG",3,20
24,"1","6","-99","EDG",3,0
24,"1","7","-99","EDG",3,0
24,"1","8","-99","EDG",3,0
25,"2","1","5","EDG",3,0
25,"2","2","1","EDG",3,0
25,"2","3","5","EDG",3,0
25,"2","4","2","EDG",3,0
25,"2","5","3","EDG",3,30
25,"2","6","1","EDG",3,0
25,"2","7","1","EDG",3,0
25,"2","8","1","EDG",3,0
26,"2","1","5","EDG",3,0
26,"2","2","1","EDG",3,0
26,"2","3","5","EDG",3,0
26,"2","4","1","EDG",3,0
26,"2","5","4","EDG",3,30
26,"2","6","1","EDG",3,0
26,"2","7","1","EDG",3,0
26,"2","8","3","EDG",3,10
27,"2","1","5","EDG",3,0
27,"2","2","3","EDG",3,0
27,"2","3","5","EDG",3,0
27,"2","4","1","EDG",3,0
27,"2","5","2","EDG",3,10
27,"2","6","1","EDG",3,0
27,"2","7","1","EDG",3,0
27,"2","8","4","EDG",3,0
28,"3","1","5","EDG",3,0
28,"3","2","3","EDG",3,0
28,"3","3","2","EDG",3,0
28,"3","4","3","EDG",3,0
28,"3","5","4","EDG",3,20
28,"3","6","3","EDG",3,0
28,"3","7","1","EDG",3,0
28,"3","8","4","EDG",3,0
15,"1","1","-99","ELG",3,0
15,"1","2","-99","ELG",3,0
15,"1","3","-99","ELG",3,0
15,"1","4","-99","ELG",3,20
15,"1","5","-99","ELG",3,10
15,"1","6","-99","ELG",3,0
15,"1","7","-99","ELG",3,0
15,"1","8","-99","ELG",3,0
16,"1","1","-99","ELG",3,0
16,"1","2","-99","ELG",3,0
16,"1","3","-99","ELG",3,0
16,"1","4","-99","ELG",3,78
16,"1","5","-99","ELG",3,30
